Code,Company,Price,Change,Volume,Value,Captilisation
TWF,Smartshares Total World ETF,$2.827,$0.056 / 2.02%,"187,533","$524,580.14","$262,216,146"
TWH,Smartshares Total World (NZD Hedged) ETF,$2.910,$0.028 / 0.97%,"13,642","$39,675.91","$57,690,427"
TWL,Trade Window Holdings Limited,$0.510,$0.000 / 0.00%,96,$49.92,"$51,410,397"
TWR,Tower Limited,$0.725,$0.005 / 0.69%,"79,978","$57,822.25","$275,125,891"
USA,Smartshares US Equities ESG ETF,$2.810,$0.016 / 0.57%,"3,302","$9,336.05","$46,271,612"
USF,Smartshares US 500 ETF,$11.219,$0.131 / 1.18%,"60,116","$675,194.21","$471,332,561"
USG,Smartshares US Large Growth ETF,$6.627,$0.078 / 1.19%,"36,360","$241,300.81","$183,129,630"
USM,Smartshares US Mid Cap ETF,$6.566,$0.090 / 1.39%,"3,699","$24,258.75","$89,118,644"
USS,Smartshares US Small Cap ETF,$5.893,$0.066 / 1.13%,"1,776","$10,508.31","$77,868,399"
USV,Smartshares US Large Value ETF,$4.483,$0.016 / 0.36%,"30,576","$137,567.95","$86,894,778"
VCT,Vector Limited (NS),$4.310,$0.040 / 0.94%,"267,552","$1,151,686.58","$4,310,000,000"
VGL,Vista Group International Limited,$1.470,$0.000 / 0.00%,"38,077","$55,898.27","$342,792,377"
VHP,Vital Healthcare Property Trust,$2.270,$0.000 / 0.00%,"414,014","$938,408.24","$1,493,108,086"
VNT,Ventia Services Group Limited,$2.690,$0.000 / 0.00%,93,$252.03,"$2,301,295,000"
VSL,Vulcan Steel Limited,$9.280,$0.380 / 4.27%,"27,475","$247,728.22","$1,219,471,548"
VTL,Vital Limited,$0.305,$0.005 / 1.67%,"1,330",$405.65,"$12,672,237"
WBC,Westpac Banking Corporation,$25.520,$0.320 / 1.27%,"5,892","$149,971.80","$89,348,778,751"
WCO,WasteCo Group Limited,$0.085,$0.000 / 0.00%,"146,229","$12,429.33","$58,480,000"
WHS,The Warehouse Group Limited,$2.630,$0.000 / 0.00%,"35,355","$93,169.19","$912,197,406"
WIN,Winton Land Limited (NS),$1.660,$0.060 / 3.75%,"6,100","$10,061.62","$492,378,802"
